수준,날짜 및 시간,원본,이벤트 ID,작업 범주
경고,2025-11-21 오후 4:45:16,Microsoft-Windows-DistributedCOM,10016,없음,"응용 프로그램별 권한 설정에서 CLSID가 
Windows.SecurityCenter.WscBrokerManager
이고 APPID가 
사용할 수 없음
인 COM 서버 응용 프로그램에 대한 로컬 시작 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 NT AUTHORITY\SYSTEM SID(S-1-5-18)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다."
오류,2025-11-21 오후 4:43:39,Service Control Manager,7022,없음,Downloaded Maps Manager 서비스가 시작하는 동안 멈췄습니다.
정보,2025-11-21 오후 4:42:38,Service Control Manager,7040,없음,Background Intelligent Transfer Service 서비스의 시작 유형을 자동 시작에서 요청 시 시작(으)로 바꿨습니다.
오류,2025-11-21 오후 4:42:35,Microsoft-Windows-DistributedCOM,10010,없음,{8CFC164F-4BE5-4FDD-94E9-E2AF73ED4A19} 서버가 요구된 초과 시간 안에 DCOM으로 등록하지 않았습니다.
경고,2025-11-21 오후 4:40:46,Microsoft-Windows-DistributedCOM,10016,없음,"응용 프로그램별 권한 설정에서 CLSID가 
Windows.SecurityCenter.WscCloudBackupProvider
이고 APPID가 
사용할 수 없음
인 COM 서버 응용 프로그램에 대한 로컬 시작 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DESKTOP-MPGB8S7\goode SID(S-1-5-21-3497186367-3239011787-3622307728-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다."
경고,2025-11-21 오후 4:40:44,Microsoft-Windows-DistributedCOM,10016,없음,"응용 프로그램별 권한 설정에서 CLSID가 
Windows.SecurityCenter.WscCloudBackupProvider
이고 APPID가 
사용할 수 없음
인 COM 서버 응용 프로그램에 대한 로컬 시작 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DESKTOP-MPGB8S7\goode SID(S-1-5-21-3497186367-3239011787-3622307728-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다."
경고,2025-11-21 오후 4:40:41,Microsoft-Windows-DistributedCOM,10016,없음,"응용 프로그램별 권한 설정에서 CLSID가 
Windows.SecurityCenter.WscCloudBackupProvider
이고 APPID가 
사용할 수 없음
인 COM 서버 응용 프로그램에 대한 로컬 시작 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DESKTOP-MPGB8S7\goode SID(S-1-5-21-3497186367-3239011787-3622307728-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다."
정보,2025-11-21 오후 4:40:26,Service Control Manager,7040,없음,Background Intelligent Transfer Service 서비스의 시작 유형을 요청 시 시작에서 자동 시작(으)로 바꿨습니다.
정보,2025-11-21 오후 4:40:17,Service Control Manager,7040,없음,Microsoft Defender 바이러스 백신 미니 필터 드라이버 서비스의 시작 유형을 부팅 시작에서 요청 시 시작(으)로 바꿨습니다.
정보,2025-11-21 오후 4:40:17,Microsoft-Windows-FilterManager,1,없음,"파일 시스템 필터 'WdFilter'(버전 10.0, ‎2029‎-‎01‎-‎10T14:59:29.000000000Z)을(를) 성공적으로 언로드했습니다."
